Test Case ID,Requirement ID,Coverage Item ID,Technique,Priority,Preconditions,Test Data,Steps,Expected Result,Oracle Explanation,Automation Candidate,Traceability
"TC-130","57","130","Equivalence Partitioning","Medium","存在订单","状态过滤参数","1. 按状态查询订单","返回对应状态的订单列表","状态过滤应正确","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-131","57","131","Boundary Value Analysis","Medium","无匹配订单","不存在的订单号搜索","1. 搜索不存在的订单号","显示空列表","无结果应返回空列表","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-132","58","132","State Transition Testing","High","订单为待支付","新金额","1. 修改订单金额","修改成功","待支付可修改金额","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-133","58","133","State Transition Testing","High","订单状态为已出库","新金额","1. 尝试修改金额","修改失败，提示订单状态不允许","已出库不可修改金额","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-134","59","134","Equivalence Partitioning","Medium","存在有效订单且有订单项","有效订单ID","1. 查看订单明细","显示订单商品项","有效订单应有明细","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-135","59","135","Equivalence Partitioning","High","不存在订单","不存在的订单ID","1. 查看不存在的订单明细","返回404或提示订单不存在","不存在ID应返回错误","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-136","60","136","State Transition Testing","High","订单为已支付","已支付订单ID","1. 配货完成操作","订单状态变为已配货","已支付订单可配货","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-137","60","137","Decision Table","Medium","多订单混合状态","部分已支付部分其他状态","1. 批量配货","已支付订单配货成功，其他失败或全部失败（按设计）","混合状态应有明确处理","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-138","61","138","State Transition Testing","High","订单为已配货","已配货订单ID","1. 出库操作","订单状态变为已出库","已配货可出库","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-139","61","139","State Transition Testing","High","订单为待支付","待支付订单ID","1. 尝试出库","操作失败，提示订单状态不允许","非适当状态不可出库","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-140","62","140","State Transition Testing","High","订单为待支付或已支付","待支付订单ID","1. 关闭订单 2. 检查库存","订单关闭，库存恢复","可关闭订单并恢复库存","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-141","62","141","State Transition Testing","High","订单为已完成或已关闭","已完成订单ID","1. 尝试关闭已完成订单","操作失败，提示订单状态不允许","已完成/已关闭不可再次关闭","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-142","63","142","Equivalence Partitioning","Medium","存在会员数据","分页参数正常","1. 查询会员列表","返回分页列表","正常分页应返回","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-143","63","143","Boundary Value Analysis","Medium","缺乏分页参数","不传page参数","1. 查询会员列表无参数","使用默认分页返回数据","缺失参数默认处理","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-144","64","144","State Transition Testing","High","会员处于正常状态","会员ID","1. 锁定会员 2. 该会员尝试登录","锁定成功，登录失败提示账号锁定","锁定后不可登录","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-145","64","145","State Transition Testing","High","会员处于锁定状态","会员ID","1. 解锁会员 2. 该会员尝试登录","解锁成功，登录成功","解锁后可登录","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-146","65","146","Equivalence Partitioning","Medium","访问不存在路由","随机不存在的路径","1. 请求不存在的URL","返回404错误页面","不存在路由应404","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-147","65","147","Equivalence Partitioning","Medium","参数类型错误","字符串参数传数字等","1. 传入类型错误的参数","返回400错误提示","参数类型错误应400","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-148","66","148","State Transition Testing","High","前后台session独立","分别登录前后台","1. 前台登录用户A 2. 后台登录管理员B 3. 尝试互相访问受限资源","前后台session隔离，互不影响","session隔离应互不干扰","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-149","67","149","Statement/Branch/Path Coverage","High","用户已登录，有合法CSRF token","携带正确token的POST请求","1. 发送带token的POST请求","请求通过","合法token应通过","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-150","67","150","Statement/Branch/Path Coverage","High","用户已登录","不带CSRF token的POST请求","1. 发送无token的POST请求","请求被拒绝，返回403或错误","无token应拒绝","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-151","68","151","Risk-based Prioritization","Medium","正常网络","无","1. 测量首页加载时间","加载时间在预期范围内（如<3s）","性能指标满足要求","Partial","Requirement -> Coverage item -> Technique -> Test case"
"TC-152","68","152","Risk-based Prioritization","Medium","并发场景","并发请求搜索","1. 模拟多用户并发搜索","响应时间达标","并发下性能达标","Partial","Requirement -> Coverage item -> Technique -> Test case"
"TC-153","69","153","Risk-based Prioritization","Medium","不同浏览器","Chrome, Firefox, Edge","1. 在各浏览器打开页面","页面渲染正常，布局一致","跨浏览器兼容性","Partial","Requirement -> Coverage item -> Technique -> Test case"
"TC-154","69","154","Risk-based Prioritization","Medium","移动端","移动设备浏览器","1. 在移动端打开页面","响应式布局，元素适应屏幕","移动端响应式","Partial","Requirement -> Coverage item -> Technique -> Test case"
"TC-155","70","155","Statement/Branch/Path Coverage","High","高并发场景","同时请求下单同一商品","1. 并发发起下单请求","库存扣减正确，无超卖","事务一致性：库存不超卖","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-156","70","156","State Transition Testing","High","订单已取消","取消前的库存数和购物车","1. 取消订单 2. 检查库存和购物车","库存恢复，购物车中该商品正确","取消后库存恢复一致","Yes","Requirement -> Coverage item -> Technique -> Test case"
"TC-REV-SEARCH-SQL-001","4","","Decision Table; Security Testing","High","","","1. Open the search page. 2. Enter keyword: ' OR '1'='1. 3. Submit the search. 4. Observe the result page and server response.","The request is handled safely. No SQL error, stack trace, or unauthorized product data is exposed.","","Partial","TA-004 -> evidence-based SQL injection coverage -> TC-REV-SEARCH-SQL-001"
